window_number,timeline,start_index,end_index,window_size,best_seed,max_net,start_price,end_price,price_change_pct,action_count,action_sequence
1,2024-01-02 ถึง 2024-02-13,0,29,30,20715,421.29,12.93,7.0,-45.86,6,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
2,2024-02-14 ถึง 2024-03-27,30,59,30,23453,96.48,7.16,5.73,-19.97,9,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
3,2024-03-28 ถึง 2024-05-09,60,89,30,18231,152.63,6.1,5.26,-13.77,15,"[1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
4,2024-05-10 ถึง 2024-06-24,90,119,30,25275,60.27,5.19,6.51,25.43,9,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1]"
5,2024-06-25 ถึง 2024-08-06,120,149,30,20527,118.15,6.28,6.22,-0.96,9,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
6,2024-08-07 ถึง 2024-09-18,150,179,30,25275,159.51,5.64,3.99,-29.26,9,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1]"
7,2024-09-19 ถึง 2024-10-30,180,209,30,28670,129.95,3.87,2.46,-36.43,13,"[1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
8,2024-10-31 ถึง 2024-12-12,210,239,30,26834,376.08,2.55,2.22,-12.94,16,"[1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]"
9,2024-12-13 ถึง 2025-01-29,240,269,30,26765,438.99,2.24,3.43,53.13,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]"
10,2025-01-30 ถึง 2025-03-13,270,299,30,1098,112.23,3.59,4.0,11.42,11,"[1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
11,2025-03-14 ถึง 2025-04-25,300,329,30,6040,226.36,4.05,3.9,-3.7,10,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
12,2025-04-28 ถึง 2025-06-09,330,359,30,27656,327.02,3.84,2.28,-40.62,12,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1]"
