window_number,timeline,start_index,end_index,window_size,best_seed,max_net,start_price,end_price,price_change_pct,action_count,action_sequence
1,2024-01-02 ถึง 2024-02-13,0,29,30,18649,58.79,61.27,66.17,8.0,17,"[1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0]"
2,2024-02-14 ถึง 2024-03-27,30,59,30,16911,45.37,67.39,58.49,-13.21,12,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1]"
3,2024-03-28 ถึง 2024-05-09,60,89,30,7554,65.27,58.78,42.52,-27.66,12,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0]"
4,2024-05-10 ถึง 2024-06-24,90,119,30,5871,25.76,41.99,38.42,-8.5,17,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
5,2024-06-25 ถึง 2024-08-06,120,149,30,29385,61.43,40.4,35.11,-13.09,13,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0]"
6,2024-08-07 ถึง 2024-09-18,150,179,30,21617,41.97,33.59,35.63,6.07,12,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1]"
7,2024-09-19 ถึง 2024-10-30,180,209,30,28078,68.21,36.73,27.71,-24.56,10,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1]"
8,2024-10-31 ถึง 2024-12-12,210,239,30,11507,95.59,27.26,32.74,20.1,11,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]"
9,2024-12-13 ถึง 2025-01-29,240,269,30,12831,57.75,33.19,29.47,-11.21,14,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
10,2025-01-30 ถึง 2025-03-13,270,299,30,4359,38.67,30.39,24.37,-19.81,10,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
11,2025-03-14 ถึง 2025-04-25,300,329,30,14057,76.16,24.66,17.49,-29.08,10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
12,2025-04-28 ถึง 2025-06-09,330,359,30,5646,71.21,17.96,19.39,7.96,13,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1]"
