window_number,timeline,start_index,end_index,window_size,best_seed,max_net,start_price,end_price,price_change_pct,action_count,action_sequence
1,2024-01-02 ถึง 2024-02-13,0,29,30,13792,101.76,9.51,7.5,-21.19,12,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
2,2024-02-14 ถึง 2024-03-27,30,59,30,26654,72.44,7.79,7.42,-4.74,12,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1]"
3,2024-03-28 ถึง 2024-05-09,60,89,30,7600,74.54,7.54,5.55,-26.36,11,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
4,2024-05-10 ถึง 2024-06-24,90,119,30,28190,50.19,5.27,5.76,9.3,8,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2024-06-25 ถึง 2024-08-06,120,149,30,6372,176.14,5.29,6.33,19.66,11,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]"
6,2024-08-07 ถึง 2024-09-18,150,179,30,4150,36.86,6.31,6.68,5.86,9,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]"
7,2024-09-19 ถึง 2024-10-30,180,209,30,9884,88.11,7.01,6.95,-0.86,14,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]"
8,2024-10-31 ถึง 2024-12-12,210,239,30,28274,61.9,6.73,7.31,8.62,12,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]"
9,2024-12-13 ถึง 2025-01-29,240,269,30,14920,53.42,7.3,6.26,-14.25,18,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]"
10,2025-01-30 ถึง 2025-03-13,270,299,30,19559,27.28,5.46,4.71,-13.74,12,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
11,2025-03-14 ถึง 2025-04-25,300,329,30,29354,41.3,4.9,4.82,-1.63,12,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]"
12,2025-04-28 ถึง 2025-06-09,330,359,30,16942,16.35,4.87,5.37,10.27,12,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
