window_number,timeline,start_index,end_index,window_size,best_seed,max_net,start_price,end_price,price_change_pct,action_count,action_sequence
1,2024-01-02 ถึง 2024-02-13,0,29,30,4303,207.59,25.2,18.4,-26.98,12,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
2,2024-02-14 ถึง 2024-03-27,30,59,30,27181,167.56,19.6,17.6,-10.2,13,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]"
3,2024-03-28 ถึง 2024-05-09,60,89,30,7866,54.78,18.4,17.6,-4.35,9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]"
4,2024-05-10 ถึง 2024-06-24,90,119,30,8171,144.69,16.6,17.4,4.82,14,"[1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0]"
5,2024-06-25 ถึง 2024-08-06,120,149,30,29912,155.37,17.4,15.6,-10.34,13,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
6,2024-08-07 ถึง 2024-09-18,150,179,30,19634,58.8,15.0,16.0,6.67,14,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]"
7,2024-09-19 ถึง 2024-10-30,180,209,30,29893,52.52,16.0,12.8,-20.0,6,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
8,2024-10-31 ถึง 2024-12-12,210,239,30,28671,70.34,12.2,11.0,-9.84,18,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1]"
9,2024-12-13 ถึง 2025-01-29,240,269,30,6228,120.24,10.4,8.4,-19.23,13,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0]"
10,2025-01-30 ถึง 2025-03-13,270,299,30,12853,83.06,8.8,7.6,-13.64,17,"[1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1]"
11,2025-03-14 ถึง 2025-04-25,300,329,30,29179,180.27,5.6,3.76,-32.86,13,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1]"
12,2025-04-28 ถึง 2025-06-06,330,358,29,17022,1374.34,3.82,10.4,172.25,11,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0]"

