window_number,timeline,start_index,end_index,window_size,best_seed,max_net,start_price,end_price,price_change_pct,action_count,action_sequence
1,2024-01-02 ถึง 2024-02-13,0,29,30,25139,79.43,7.63,6.36,-16.64,10,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
2,2024-02-14 ถึง 2024-03-27,30,59,30,14057,109.48,6.79,4.58,-32.55,10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
3,2024-03-28 ถึง 2024-05-09,60,89,30,5679,94.63,4.77,4.69,-1.68,10,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]"
4,2024-05-10 ถึง 2024-06-24,90,119,30,5115,96.17,4.1,4.0,-2.44,9,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
5,2024-06-25 ถึง 2024-08-06,120,149,30,21389,144.62,3.88,3.21,-17.27,14,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
6,2024-08-07 ถึง 2024-09-18,150,179,30,11115,113.11,3.19,2.29,-28.37,16,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0]"
7,2024-09-19 ถึง 2024-10-30,180,209,30,11789,67.58,2.4,2.67,11.25,18,"[1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1]"
8,2024-10-31 ถึง 2024-12-12,210,239,30,18024,852.83,2.47,3.6,45.75,7,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
9,2024-12-13 ถึง 2025-01-29,240,269,30,9448,328.14,3.44,2.98,-13.37,14,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1]"
10,2025-01-30 ถึง 2025-03-13,270,299,30,9894,210.55,3.03,2.24,-26.07,14,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
11,2025-03-14 ถึง 2025-04-25,300,329,30,18548,213.39,2.5,2.05,-18.0,11,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
12,2025-04-28 ถึง 2025-06-06,330,358,29,20063,1957.99,2.01,6.18,207.46,14,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
