window_number,timeline,start_index,end_index,window_size,best_seed,max_net,start_price,end_price,price_change_pct,action_count,action_sequence
1,2024-01-02 ถึง 2024-02-13,0,29,30,27487,398.55,107.77,98.11,-8.97,13,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]"
2,2024-02-14 ถึง 2024-03-27,30,59,30,8691,102.82,103.7,86.98,-16.13,11,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1]"
3,2024-03-28 ถึง 2024-05-09,60,89,30,26907,88.58,87.91,99.04,12.66,16,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
4,2024-05-10 ถึง 2024-06-24,90,119,30,19861,1266.9,95.64,85.86,-10.23,7,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
5,2024-06-25 ถึง 2024-08-06,120,149,30,8594,3620.53,79.85,11.37,-85.76,10,"[1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
6,2024-08-07 ถึง 2024-09-18,150,179,30,25412,128.6,10.99,14.65,33.3,11,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]"
7,2024-09-19 ถึง 2024-10-30,180,209,30,7496,41.37,14.87,15.07,1.34,13,"[1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]"
8,2024-10-31 ถึง 2024-12-12,210,239,30,2100,38.21,15.22,15.99,5.06,13,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1]"
9,2024-12-13 ถึง 2025-01-29,240,269,30,28618,35.09,16.14,13.4,-16.98,13,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
10,2025-01-30 ถึง 2025-03-13,270,299,30,29070,36.74,13.42,12.64,-5.81,6,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
11,2025-03-14 ถึง 2025-04-25,300,329,30,25890,80.49,12.82,12.88,0.47,16,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]"
12,2025-04-28 ถึง 2025-06-09,330,359,30,25206,131.47,13.42,20.13,50.0,10,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
