window_number,timeline,start_index,end_index,window_size,best_seed,max_net,start_price,end_price,price_change_pct,action_count,action_sequence
1,2024-01-02 ถึง 2024-02-13,0,29,30,12547,84.48,21.1,15.38,-27.11,11,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0]"
2,2024-02-14 ถึง 2024-03-27,30,59,30,28096,211.36,15.54,10.99,-29.28,12,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]"
3,2024-03-28 ถึง 2024-05-09,60,89,30,530,79.05,10.95,10.22,-6.67,13,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
4,2024-05-10 ถึง 2024-06-24,90,119,30,27776,60.51,9.99,11.01,10.21,15,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1]"
5,2024-06-25 ถึง 2024-08-06,120,149,30,15897,163.82,11.96,14.8,23.75,11,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
6,2024-08-07 ถึง 2024-09-18,150,179,30,10550,40.9,13.78,12.9,-6.42,17,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
7,2024-09-19 ถึง 2024-10-30,180,209,30,3745,46.05,13.15,10.39,-20.99,14,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0]"
8,2024-10-31 ถึง 2024-12-12,210,239,30,16163,162.81,10.1,14.2,40.59,12,"[1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
9,2024-12-13 ถึง 2025-01-29,240,269,30,9336,116.18,14.37,12.42,-13.57,15,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
10,2025-01-30 ถึง 2025-03-13,270,299,30,14342,65.86,12.51,10.61,-15.19,15,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
11,2025-03-14 ถึง 2025-04-25,300,329,30,15089,82.78,10.75,12.62,17.4,11,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]"
12,2025-04-28 ถึง 2025-06-09,330,359,30,23691,87.27,13.19,14.4,9.17,12,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1]"
