window_number,timeline,start_index,end_index,window_size,best_seed,max_net,start_price,end_price,price_change_pct,action_count,action_sequence
1,2024-01-02 ถึง 2024-02-13,0,29,30,4562,96.96,9.51,7.5,-21.19,13,"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
2,2024-02-14 ถึง 2024-03-27,30,59,30,8589,66.97,7.79,7.42,-4.74,14,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1]"
3,2024-03-28 ถึง 2024-05-09,60,89,30,7600,74.54,7.54,5.55,-26.36,11,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
4,2024-05-10 ถึง 2024-06-24,90,119,30,3333,49.75,5.27,5.76,9.3,13,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1]"
5,2024-06-25 ถึง 2024-08-06,120,149,30,6372,176.14,5.29,6.33,19.66,11,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]"
6,2024-08-07 ถึง 2024-09-18,150,179,30,4150,36.86,6.31,6.68,5.86,9,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]"
7,2024-09-19 ถึง 2024-10-30,180,209,30,9884,88.11,7.01,6.95,-0.86,14,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]"
8,2024-10-31 ถึง 2024-12-12,210,239,30,4278,61.04,6.73,7.31,8.62,13,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
9,2024-12-13 ถึง 2025-01-29,240,269,30,5639,50.85,7.3,6.26,-14.25,14,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
10,2025-01-30 ถึง 2025-03-13,270,299,30,6717,26.24,5.46,4.71,-13.74,11,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
11,2025-03-14 ถึง 2025-04-25,300,329,30,2912,38.01,4.9,4.82,-1.63,14,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
12,2025-04-28 ถึง 2025-06-06,330,358,29,2539,14.83,4.87,5.3,8.83,14,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
